id,version,title,abstract,authors,categories,primary_category,published,updated,doi,journal_ref,comment,pdf_url,link,year,source
2501.00684,1,"IGC: Integrating a Gated Calculator into an LLM to Solve Arithmetic
  Tasks Reliably and Efficiently","Solving arithmetic tasks is a simple and fundamental skill, yet modern Large Language Models (LLMs) have great difficulty with them. We introduce the Integrated Gated Calculator (IGC), a module that enables LLMs to perform arithmetic by emulating a calculator on the GPU. We finetune a Llama model with our module and test it on the BigBench Arithmetic benchmark, where it beats the State of the Art, outperforming all models on the benchmark, including models almost two orders of magnitude larger. Our approach takes only a single iteration to run and requires no external tools. It performs arithmetic operations entirely inside the LLM without the need to produce intermediate tokens. It is computationally efficient, interpretable, and avoids side-effects on tasks that do not require arithmetic operations. It reliably achieves 98\% to 99\% accuracy across multiple training runs and for all subtasks, including the substantially harder subtask of multiplication, which was previously unsolved.",Florian Dietz; Dietrich Klakow,cs.LG; cs.CL,cs.LG,2025-01-01T00:01:27Z,2025-01-01T00:01:27Z,,,,http://arxiv.org/pdf/2501.00684v1,http://arxiv.org/abs/2501.00684v1,2025,arxiv_api
2501.00691,2,"Labels Generated by Large Language Models Help Measure People's Empathy
  in Vitro","Large language models (LLMs) have revolutionised many fields, with LLM-as-a-service (LLMSaaS) offering accessible, general-purpose solutions without costly task-specific training. In contrast to the widely studied prompt engineering for directly solving tasks (in vivo), this paper explores LLMs' potential for in-vitro applications: using LLM-generated labels to improve supervised training of mainstream models. We examine two strategies - (1) noisy label correction and (2) training data augmentation - in empathy computing, an emerging task to predict psychology-based questionnaire outcomes from inputs like textual narratives. Crowdsourced datasets in this domain often suffer from noisy labels that misrepresent underlying empathy. We show that replacing or supplementing these crowdsourced labels with LLM-generated labels, developed using psychology-based scale-aware prompts, achieves statistically significant accuracy improvements. Notably, the RoBERTa pre-trained language model (PLM) trained with noise-reduced labels yields a state-of-the-art Pearson correlation coefficient of 0.648 on the public NewsEmp benchmarks. This paper further analyses evaluation metric selection and demographic biases to help guide the future development of more equitable empathy computing models. Code and LLM-generated labels are available at https://github.com/hasan-rakibul/LLMPathy.",Md Rakibul Hasan; Yue Yao; Md Zakir Hossain; Aneesh Krishna; Imre Rudas; Shafin Rahman; Tom Gedeon,cs.CL; cs.LG,cs.CL,2025-01-01T01:06:58Z,2025-07-16T07:55:10Z,,,This work has been submitted to the IEEE for possible publication,http://arxiv.org/pdf/2501.00691v2,http://arxiv.org/abs/2501.00691v2,2025,arxiv_api
2501.00692,1,Adjoint sharding for very long context training of state space models,"Despite very fast progress, efficiently training large language models (LLMs) in very long contexts remains challenging. Existing methods fall back to training LLMs with short contexts (a maximum of a few thousands tokens in training) and use inference time techniques when evaluating on long contexts (above 1M tokens context window at inference). As opposed to long-context-inference, training on very long context input prompts is quickly limited by GPU memory availability and by the prohibitively long training times it requires on state-of-the-art hardware. Meanwhile, many real-life applications require not only inference but also training/fine-tuning with long context on specific tasks. Such applications include, for example, augmenting the context with various sources of raw reference information for fact extraction, fact summarization, or fact reconciliation tasks. We propose adjoint sharding, a novel technique that comprises sharding gradient calculation during training to reduce memory requirements by orders of magnitude, making training on very long context computationally tractable. Adjoint sharding is based on the adjoint method and computes equivalent gradients to backpropagation. We also propose truncated adjoint sharding to speed up the algorithm while maintaining performance. We provide a distributed version, and a paralleled version of adjoint sharding to further speed up training. Empirical results show the proposed adjoint sharding algorithm reduces memory usage by up to 3X with a 1.27B parameter large language model on 1M context length training. This allows to increase the maximum context length during training or fine-tuning of a 1.27B parameter model from 35K tokens to above 100K tokens on a training infrastructure composed of five AWS P4 instances.",Xingzi Xu; Amir Tavanaei; Kavosh Asadi; Karim Bouyarmane,cs.LG; cs.AI; cs.CL,cs.LG,2025-01-01T01:10:59Z,2025-01-01T01:10:59Z,,,,http://arxiv.org/pdf/2501.00692v1,http://arxiv.org/abs/2501.00692v1,2025,arxiv_api
2501.00697,2,"PANDA -- Paired Anti-hate Narratives Dataset from Asia: Using an
  LLM-as-a-Judge to Create the First Chinese Counterspeech Dataset","Despite the global prevalence of Modern Standard Chinese language, counterspeech (CS) resources for Chinese remain virtually nonexistent. To address this gap in East Asian counterspeech research we introduce the a corpus of Modern Standard Mandarin counterspeech that focuses on combating hate speech in Mainland China. This paper proposes a novel approach of generating CS by using an LLM-as-a-Judge, simulated annealing, LLMs zero-shot CN generation and a round-robin algorithm. This is followed by manual verification for quality and contextual relevance. This paper details the methodology for creating effective counterspeech in Chinese and other non-Eurocentric languages, including unique cultural patterns of which groups are maligned and linguistic patterns in what kinds of discourse markers are programmatically marked as hate speech (HS). Analysis of the generated corpora, we provide strong evidence for the lack of open-source, properly labeled Chinese hate speech data and the limitations of using an LLM-as-Judge to score possible answers in Chinese. Moreover, the present corpus serves as the first East Asian language based CS corpus and provides an essential resource for future research on counterspeech generation and evaluation.",Michael Bennie; Demi Zhang; Bushi Xiao; Jing Cao; Chryseis Xinyi Liu; Jian Meng; Alayo Tripp,cs.CL,cs.CL,2025-01-01T01:56:32Z,2025-01-04T19:36:35Z,,,to be published in MCG-COLING 2025's conference proceedings,http://arxiv.org/pdf/2501.00697v2,http://arxiv.org/abs/2501.00697v2,2025,arxiv_api
2501.00712,2,"Rethinking Addressing in Language Models via Contexualized Equivariant
  Positional Encoding","Transformers rely on both content-based and position-based addressing mechanisms to make predictions, but existing positional encoding techniques often diminish the effectiveness of position-based addressing. Many current methods enforce rigid patterns in attention maps, limiting the ability to model long-range dependencies and adapt to diverse tasks. Additionally, most positional encodings are learned as general biases, lacking the specialization required for different instances within a dataset. To address this, we propose con\textbf{T}extualized equivari\textbf{A}nt \textbf{P}osition \textbf{E}ncoding (\textbf{TAPE}), a novel framework that enhances positional embeddings by incorporating sequence content across layers. TAPE introduces dynamic, context-aware positional encodings, overcoming the constraints of traditional fixed patterns. We show that TAPE can provably facilitate LLM reasoning ability by emulating a broader class of algorithms. By enforcing permutation and orthogonal equivariance, TAPE ensures the stability of positional encodings during updates, improving long-context ability. Our method can be easily integrated into pre-trained transformers, offering parameter-efficient fine-tuning with minimal overhead. Extensive experiments show that TAPE achieves superior performance in language modeling, arithmetic reasoning, and long-context retrieval tasks compared to existing positional embedding techniques. Code is available at https://github.com/VITA-Group/TAPE.",Jiajun Zhu; Peihao Wang; Ruisi Cai; Jason D. Lee; Pan Li; Zhangyang Wang,cs.CL; cs.LG; I.2.6; I.2.7,cs.CL,2025-01-01T03:23:00Z,2025-08-21T01:12:10Z,,,ICML 2025,http://arxiv.org/pdf/2501.00712v2,http://arxiv.org/abs/2501.00712v2,2025,arxiv_api
2501.00713,2,"CODEOFCONDUCT at Multilingual Counterspeech Generation: A Context-Aware
  Model for Robust Counterspeech Generation in Low-Resource Languages","This paper introduces a context-aware model for robust counterspeech generation, which achieved significant success in the MCG-COLING-2025 shared task. Our approach particularly excelled in low-resource language settings. By leveraging a simulated annealing algorithm fine-tuned on multilingual datasets, the model generates factually accurate responses to hate speech. We demonstrate state-of-the-art performance across four languages (Basque, English, Italian, and Spanish), with our system ranking first for Basque, second for Italian, and third for both English and Spanish. Notably, our model swept all three top positions for Basque, highlighting its effectiveness in low-resource scenarios. Evaluation of the shared task employs both traditional metrics (BLEU, ROUGE, BERTScore, Novelty) and JudgeLM based on LLM. We present a detailed analysis of our results, including an empirical evaluation of the model performance and comprehensive score distributions across evaluation metrics. This work contributes to the growing body of research on multilingual counterspeech generation, offering insights into developing robust models that can adapt to diverse linguistic and cultural contexts in the fight against online hate speech.",Michael Bennie; Bushi Xiao; Chryseis Xinyi Liu; Demi Zhang; Jian Meng; Alayo Tripp,cs.CL,cs.CL,2025-01-01T03:36:31Z,2025-01-04T19:38:15Z,,,to be published in MCG-COLING's 2025 conference proceedings,http://arxiv.org/pdf/2501.00713v2,http://arxiv.org/abs/2501.00713v2,2025,arxiv_api
2501.00745,2,"Dynamics of Adversarial Attacks on Large Language Model-Based Search
  Engines","The increasing integration of Large Language Model (LLM) based search engines has transformed the landscape of information retrieval. However, these systems are vulnerable to adversarial attacks, especially ranking manipulation attacks, where attackers craft webpage content to manipulate the LLM's ranking and promote specific content, gaining an unfair advantage over competitors. In this paper, we study the dynamics of ranking manipulation attacks. We frame this problem as an Infinitely Repeated Prisoners' Dilemma, where multiple players strategically decide whether to cooperate or attack. We analyze the conditions under which cooperation can be sustained, identifying key factors such as attack costs, discount rates, attack success rates, and trigger strategies that influence player behavior. We identify tipping points in the system dynamics, demonstrating that cooperation is more likely to be sustained when players are forward-looking. However, from a defense perspective, we find that simply reducing attack success probabilities can, paradoxically, incentivize attacks under certain conditions. Furthermore, defensive measures to cap the upper bound of attack success rates may prove futile in some scenarios. These insights highlight the complexity of securing LLM-based systems. Our work provides a theoretical foundation and practical insights for understanding and mitigating their vulnerabilities, while emphasizing the importance of adaptive security strategies and thoughtful ecosystem design.",Xiyang Hu,cs.CL; cs.AI; cs.GT; cs.IR; econ.TH,cs.CL,2025-01-01T06:23:26Z,2025-05-15T21:22:32Z,,,,http://arxiv.org/pdf/2501.00745v2,http://arxiv.org/abs/2501.00745v2,2025,arxiv_api
2501.00747,1,DIVE: Diversified Iterative Self-Improvement,"Recent advances in large language models (LLMs) have demonstrated the effectiveness of Iterative Self-Improvement (ISI) techniques. However, continuous training on self-generated data leads to reduced output diversity, a limitation particularly critical in reasoning tasks where diverse solution paths are essential. We present DIVE (Diversified Iterative Self-Improvement), a novel framework that addresses this challenge through two key components: Sample Pool Expansion for broader solution exploration, and Data Selection for balancing diversity and quality in preference pairs. Experiments on MATH and GSM8k datasets show that DIVE achieves a 10% to 45% relative increase in output diversity metrics while maintaining performance quality compared to vanilla ISI. Our ablation studies confirm both components' significance in achieving these improvements. Code is available at https://github.com/qinyiwei/DIVE.",Yiwei Qin; Yixiu Liu; Pengfei Liu,cs.CL,cs.CL,2025-01-01T06:33:45Z,2025-01-01T06:33:45Z,,,,http://arxiv.org/pdf/2501.00747v1,http://arxiv.org/abs/2501.00747v1,2025,arxiv_api
2501.00750,2,"Beyond Text: Implementing Multimodal Large Language Model-Powered
  Multi-Agent Systems Using a No-Code Platform","This study proposes the design and implementation of a multimodal LLM-based Multi-Agent System (MAS) leveraging a No-Code platform to address the practical constraints and significant entry barriers associated with AI adoption in enterprises. Advanced AI technologies, such as Large Language Models (LLMs), often pose challenges due to their technical complexity and high implementation costs, making them difficult for many organizations to adopt. To overcome these limitations, this research develops a No-Code-based Multi-Agent System designed to enable users without programming knowledge to easily build and manage AI systems. The study examines various use cases to validate the applicability of AI in business processes, including code generation from image-based notes, Advanced RAG-based question-answering systems, text-based image generation, and video generation using images and prompts. These systems lower the barriers to AI adoption, empowering not only professional developers but also general users to harness AI for significantly improved productivity and efficiency. By demonstrating the scalability and accessibility of No-Code platforms, this study advances the democratization of AI technologies within enterprises and validates the practical applicability of Multi-Agent Systems, ultimately contributing to the widespread adoption of AI across various industries.",Cheonsu Jeong,cs.AI,cs.AI,2025-01-01T06:36:56Z,2025-01-29T06:49:30Z,10.13088/jiis.2025.31.1.191,2025 Journal of Intelligence and Information Systems,"22 pages, 27 figures",http://arxiv.org/pdf/2501.00750v2,http://arxiv.org/abs/2501.00750v2,2025,arxiv_api
2501.00777,3,"FitCF: A Framework for Automatic Feature Importance-guided
  Counterfactual Example Generation","Counterfactual examples are widely used in natural language processing (NLP) as valuable data to improve models, and in explainable artificial intelligence (XAI) to understand model behavior. The automated generation of counterfactual examples remains a challenging task even for large language models (LLMs), despite their impressive performance on many tasks. In this paper, we first introduce ZeroCF, a faithful approach for leveraging important words derived from feature attribution methods to generate counterfactual examples in a zero-shot setting. Second, we present a new framework, FitCF, which further verifies aforementioned counterfactuals by label flip verification and then inserts them as demonstrations for few-shot prompting, outperforming two state-of-the-art baselines. Through ablation studies, we identify the importance of each of FitCF's core components in improving the quality of counterfactuals, as assessed through flip rate, perplexity, and similarity measures. Furthermore, we show the effectiveness of LIME and Integrated Gradients as backbone attribution methods for FitCF and find that the number of demonstrations has the largest effect on performance. Finally, we reveal a strong correlation between the faithfulness of feature attribution scores and the quality of generated counterfactuals, which we hope will serve as an important finding for future research in this direction.",Qianli Wang; Nils Feldhus; Simon Ostermann; Luis Felipe Villa-Arenas; Sebastian Möller; Vera Schmitt,cs.CL; cs.LG,cs.CL,2025-01-01T09:00:10Z,2025-05-28T15:18:07Z,,,ACL 2025 Findings; camera-ready version,http://arxiv.org/pdf/2501.00777v3,http://arxiv.org/abs/2501.00777v3,2025,arxiv_api
2501.00778,1,"Decoding the Flow: CauseMotion for Emotional Causality Analysis in
  Long-form Conversations","Long-sequence causal reasoning seeks to uncover causal relationships within extended time series data but is hindered by complex dependencies and the challenges of validating causal links. To address the limitations of large-scale language models (e.g., GPT-4) in capturing intricate emotional causality within extended dialogues, we propose CauseMotion, a long-sequence emotional causal reasoning framework grounded in Retrieval-Augmented Generation (RAG) and multimodal fusion. Unlike conventional methods relying only on textual information, CauseMotion enriches semantic representations by incorporating audio-derived features-vocal emotion, emotional intensity, and speech rate-into textual modalities. By integrating RAG with a sliding window mechanism, it effectively retrieves and leverages contextually relevant dialogue segments, thus enabling the inference of complex emotional causal chains spanning multiple conversational turns. To evaluate its effectiveness, we constructed the first benchmark dataset dedicated to long-sequence emotional causal reasoning, featuring dialogues with over 70 turns. Experimental results demonstrate that the proposed RAG-based multimodal integrated approach, the efficacy of substantially enhances both the depth of emotional understanding and the causal inference capabilities of large-scale language models. A GLM-4 integrated with CauseMotion achieves an 8.7% improvement in causal accuracy over the original model and surpasses GPT-4o by 1.2%. Additionally, on the publicly available DiaASQ dataset, CauseMotion-GLM-4 achieves state-of-the-art results in accuracy, F1 score, and causal reasoning accuracy.",Yuxuan Zhang; Yulong Li; Zichen Yu; Feilong Tang; Zhixiang Lu; Chong Li; Kang Dang; Jionglong Su,cs.CL; cs.CY,cs.CL,2025-01-01T09:10:32Z,2025-01-01T09:10:32Z,,,7pages,http://arxiv.org/pdf/2501.00778v1,http://arxiv.org/abs/2501.00778v1,2025,arxiv_api
2501.00805,1,"SLIDE: Integrating Speech Language Model with LLM for Spontaneous Spoken
  Dialogue Generation","Recently, ``textless"" speech language models (SLMs) based on speech units have made huge progress in generating naturalistic speech, including non-verbal vocalizations. However, the generated speech samples often lack semantic coherence. In this paper, we propose SLM and LLM Integration for spontaneous spoken Dialogue gEneration (SLIDE). Specifically, we first utilize an LLM to generate the textual content of spoken dialogue. Next, we convert the textual dialogues into phoneme sequences and use a two-tower transformer-based duration predictor to predict the duration of each phoneme. Finally, an SLM conditioned on the spoken phoneme sequences is used to vocalize the textual dialogue. Experimental results on the Fisher dataset demonstrate that our system can generate naturalistic spoken dialogue while maintaining high semantic coherence.",Haitian Lu; Gaofeng Cheng; Liuping Luo; Leying Zhang; Yanmin Qian; Pengyuan Zhang,eess.AS; cs.CL; cs.SD,eess.AS,2025-01-01T11:11:07Z,2025-01-01T11:11:07Z,,,Accepted by ICASSP 2025,http://arxiv.org/pdf/2501.00805v1,http://arxiv.org/abs/2501.00805v1,2025,arxiv_api
2501.00826,2,LLM-Powered Multi-Agent System for Automated Crypto Portfolio Management,"Cryptocurrency investment is inherently difficult due to its shorter history compared to traditional assets, the need to integrate vast amounts of data from various modalities, and the requirement for complex reasoning. While deep learning approaches have been applied to address these challenges, their black-box nature raises concerns about trust and explainability. Recently, large language models (LLMs) have shown promise in financial applications due to their ability to understand multi-modal data and generate explainable decisions. However, single LLM faces limitations in complex, comprehensive tasks such as asset investment. These limitations are even more pronounced in cryptocurrency investment, where LLMs have less domain-specific knowledge in their training corpora. To overcome these challenges, we propose an explainable, multi-modal, multi-agent framework for cryptocurrency investment. Our framework uses specialized agents that collaborate within and across teams to handle subtasks such as data analysis, literature integration, and investment decision-making for the top 30 cryptocurrencies by market capitalization. The expert training module fine-tunes agents using multi-modal historical data and professional investment literature, while the multi-agent investment module employs real-time data to make informed cryptocurrency investment decisions. Unique intrateam and interteam collaboration mechanisms enhance prediction accuracy by adjusting final predictions based on confidence levels within agent teams and facilitating information sharing between teams. Empirical evaluation using data from November 2023 to September 2024 demonstrates that our framework outperforms single-agent models and market benchmarks in classification, asset pricing, portfolio, and explainability performance.",Yichen Luo; Yebo Feng; Jiahua Xu; Paolo Tasca; Yang Liu,q-fin.TR; cs.AI,q-fin.TR,2025-01-01T13:08:17Z,2025-01-07T00:15:11Z,,,,http://arxiv.org/pdf/2501.00826v2,http://arxiv.org/abs/2501.00826v2,2025,arxiv_api
2501.00829,2,"An LLM-Empowered Adaptive Evolutionary Algorithm For Multi-Component
  Deep Learning Systems","Multi-objective evolutionary algorithms (MOEAs) are widely used for searching optimal solutions in complex multi-component applications. Traditional MOEAs for multi-component deep learning (MCDL) systems face challenges in enhancing the search efficiency while maintaining the diversity. To combat these, this paper proposes $\mu$MOEA, the first LLM-empowered adaptive evolutionary search algorithm to detect safety violations in MCDL systems. Inspired by the context-understanding ability of Large Language Models (LLMs), $\mu$MOEA promotes the LLM to comprehend the optimization problem and generate an initial population tailed to evolutionary objectives. Subsequently, it employs adaptive selection and variation to iteratively produce offspring, balancing the evolutionary efficiency and diversity. During the evolutionary process, to navigate away from the local optima, $\mu$MOEA integrates the evolutionary experience back into the LLM. This utilization harnesses the LLM's quantitative reasoning prowess to generate differential seeds, breaking away from current optimal solutions. We evaluate $\mu$MOEA in finding safety violations of MCDL systems, and compare its performance with state-of-the-art MOEA methods. Experimental results show that $\mu$MOEA can significantly improve the efficiency and diversity of the evolutionary search.",Haoxiang Tian; Xingshuo Han; Guoquan Wu; An Guo; Yuan Zhou. Jie Zhang; Shuo Li; Jun Wei; Tianwei Zhang,cs.NE; cs.AI,cs.NE,2025-01-01T13:19:58Z,2025-06-11T04:44:22Z,,,9,http://arxiv.org/pdf/2501.00829v2,http://arxiv.org/abs/2501.00829v2,2025,arxiv_api
2501.00830,2,"LLM+AL: Bridging Large Language Models and Action Languages for Complex
  Reasoning about Actions","Large Language Models (LLMs) have made significant strides in various intelligent tasks but still struggle with complex action reasoning tasks that require systematic search. To address this limitation, we propose a method that bridges the natural language understanding capabilities of LLMs with the symbolic reasoning strengths of action languages. Our approach, termed ""LLM+AL,"" leverages the LLM's strengths in semantic parsing and commonsense knowledge generation alongside the action language's proficiency in automated reasoning based on encoded knowledge. We compare LLM+AL against state-of-the-art LLMs, including ChatGPT-4, Claude 3 Opus, Gemini Ultra 1.0, and o1-preview, using benchmarks for complex reasoning about actions. Our findings indicate that, although all methods exhibit errors, LLM+AL, with relatively minimal human corrections, consistently leads to correct answers, whereas standalone LLMs fail to improve even with human feedback. LLM+AL also contributes to automated generation of action languages.",Adam Ishay; Joohyung Lee,cs.CL; cs.AI,cs.CL,2025-01-01T13:20:01Z,2025-02-04T14:37:29Z,,,42 pages,http://arxiv.org/pdf/2501.00830v2,http://arxiv.org/abs/2501.00830v2,2025,arxiv_api
2501.00868,1,"Large Language Models Are Read/Write Policy-Makers for Simultaneous
  Generation","Simultaneous generation models write generation results while reading streaming inputs, necessitating a policy-maker to determine the appropriate output timing. Existing simultaneous generation methods generally adopt the traditional encoder-decoder architecture and learn the generation and policy-making capabilities through complex dynamic programming techniques. Although LLMs excel at text generation, they face challenges in taking on the role of policy-makers through traditional training methods, limiting their exploration in simultaneous generation. To overcome these limitations, we propose a novel LLM-driven Simultaneous Generation (LSG) framework, which allows the off-the-shelf LLM to decide the generation timing and produce output concurrently. Specifically, LSG selects the generation policy that minimizes latency as the baseline policy. Referring to the baseline policy, LSG enables the LLM to devise an improved generation policy that better balances latency and generation quality, and writes generation results accordingly. Experiments on simultaneous translation and streaming automatic speech recognition tasks show that our method can achieve state-of-the-art performance utilizing the open-source LLMs and demonstrate practicality in real-world scenarios.",Shoutao Guo; Shaolei Zhang; Zhengrui Ma; Yang Feng,cs.CL,cs.CL,2025-01-01T15:20:35Z,2025-01-01T15:20:35Z,,,"Accepted at AAAI 2025. 13 pages, 7 tables, 10 figures",http://arxiv.org/pdf/2501.00868v1,http://arxiv.org/abs/2501.00868v1,2025,arxiv_api
2501.00874,3,"LUSIFER: Language Universal Space Integration for Enhanced Multilingual
  Embeddings with Large Language Models","Recent advancements in large language models (LLMs) based embedding models have established new state-of-the-art benchmarks for text embedding tasks, particularly in dense vector-based retrieval. However, these models predominantly focus on English, leaving multilingual embedding capabilities largely unexplored. To address this limitation, we present LUSIFER, a novel zero-shot approach that adapts LLM-based embedding models for multilingual tasks without requiring multilingual supervision. LUSIFER's architecture combines a multilingual encoder, serving as a language-universal learner, with an LLM-based embedding model optimized for embedding-specific tasks. These components are seamlessly integrated through a minimal set of trainable parameters that act as a connector, effectively transferring the multilingual encoder's language understanding capabilities to the specialized embedding model. Additionally, to comprehensively evaluate multilingual embedding performance, we introduce a new benchmark encompassing 5 primary embedding tasks, 123 diverse datasets, and coverage across 14 languages. Extensive experimental results demonstrate that LUSIFER significantly enhances the multilingual performance across various embedding tasks, particularly for medium and low-resource languages, without requiring explicit multilingual training data.",Hieu Man; Nghia Trung Ngo; Viet Dac Lai; Ryan A. Rossi; Franck Dernoncourt; Thien Huu Nguyen,cs.CL; cs.IR,cs.CL,2025-01-01T15:43:07Z,2025-05-07T18:16:42Z,,,,http://arxiv.org/pdf/2501.00874v3,http://arxiv.org/abs/2501.00874v3,2025,arxiv_api
2501.00879,3,"TrustRAG: Enhancing Robustness and Trustworthiness in
  Retrieval-Augmented Generation","Retrieval-Augmented Generation (RAG) enhances large language models (LLMs) by integrating external knowledge sources, enabling more accurate and contextually relevant responses tailored to user queries. These systems, however, remain susceptible to corpus poisoning attacks, which can severely impair the performance of LLMs. To address this challenge, we propose TrustRAG, a robust framework that systematically filters malicious and irrelevant content before it is retrieved for generation. Our approach employs a two-stage defense mechanism. The first stage implements a cluster filtering strategy to detect potential attack patterns. The second stage employs a self-assessment process that harnesses the internal capabilities of LLMs to detect malicious documents and resolve inconsistencies. TrustRAG provides a plug-and-play, training-free module that integrates seamlessly with any open- or closed-source language model. Extensive experiments demonstrate that TrustRAG delivers substantial improvements in retrieval accuracy, efficiency, and attack resistance.",Huichi Zhou; Kin-Hei Lee; Zhonghao Zhan; Yue Chen; Zhenhao Li; Zhaoyang Wang; Hamed Haddadi; Emine Yilmaz,cs.CL,cs.CL,2025-01-01T15:57:34Z,2025-05-22T22:00:19Z,,,,http://arxiv.org/pdf/2501.00879v3,http://arxiv.org/abs/2501.00879v3,2025,arxiv_api
